,country,year,child_mortality,gdp_per_capita,population,continent
109,Lesotho,2016,9.35,2767.0,2143876.0,Africa
110,Liberia,2016,6.740000000000001,829.0,4706106.0,Africa
111,Libya,2016,1.29,8096.0,6282202.0,Africa
112,Liechtenstein,2016,,,37630.0,Europe
113,Lithuania,2016,0.53,24743.0,2933676.0,Europe
114,Luxembourg,2016,0.24,57006.0,583355.0,Europe
115,Madagascar,2016,4.64,1381.0,25501944.0,Africa
116,Malawi,2016,5.510000000000001,1112.0,17405624.0,Africa
117,Malaysia,2016,0.8300000000000001,23053.0,31526414.0,Asia
118,Maldives,2016,0.8500000000000001,,454263.0,Asia
119,Mali,2016,11.06,1594.0,18700108.0,Africa
120,Malta,2016,0.68,29817.0,467717.0,Europe
121,Marshall Islands,2016,3.54,,48354.0,Oceania
122,Martinique,2016,0.6472000000000001,,380350.0,North America
123,Mauritania,2016,8.14,3407.0,4051896.0,Africa
124,Mauritius,2016,1.37,18918.0,1293909.0,Africa
125,Mayotte,2016,0.4235,,260296.0,Africa
126,Mexico,2016,1.46,16133.0,121519224.0,North America
127,Moldova,2016,1.59,6068.0,3225125.0,Europe
128,Monaco,2016,0.34,,37090.0,Europe
129,Mongolia,2016,1.79,12360.0,3029559.0,Asia
130,Montenegro,2016,0.38,17741.0,633264.0,Europe
131,Montserrat,2016,,,5108.0,North America
132,Morocco,2016,2.7100000000000004,8039.0,35107272.0,Africa
133,Mozambique,2016,7.13,1113.0,27696500.0,Africa
134,Myanmar,2016,5.08,5284.0,51892352.0,Asia
135,Namibia,2016,4.5200000000000005,9376.0,2323351.0,Africa
136,Nauru,2016,3.4600000000000004,,11463.0,Oceania
137,Nepal,2016,3.45,2435.0,27861186.0,Asia
138,Netherlands,2016,0.38,45600.0,17124512.0,Europe
139,New Caledonia,2016,1.3789,,283753.0,Oceania
140,New Zealand,2016,0.54,34295.0,4668088.0,Oceania
141,Nicaragua,2016,1.97,5045.0,6389237.0,North America
142,Niger,2016,9.13,925.0,20921748.0,Africa
143,Nigeria,2016,10.43,5360.0,188666928.0,Africa
144,Niue,2016,2.22,,1883.0,Oceania
145,North Korea,2016,2.0,1742.0223388671875,25389614.0,Asia
146,North Macedonia,2016,1.22,12644.0,2110194.0,Europe
147,Northern Mariana Islands,2016,,,51151.0,Oceania
148,Norway,2016,0.26,82814.0,5236591.0,Europe
149,Oman,2016,1.07,38515.0,4398080.0,Asia
150,Pakistan,2016,7.88,5223.0,213524848.0,Asia
151,Palau,2016,1.59,,17840.0,Oceania
152,Palestine,2016,1.94,5321.3828125,4593855.0,Asia
153,Panama,2016,1.64,21449.0,4026338.0,North America
154,Papua New Guinea,2016,5.43,,8899176.0,Oceania
155,Paraguay,2016,1.99,8786.0,6266623.0,South America
