,continent,mortality_rate
0,Asia,35.820001220703126
1,Asia,35.220001220703125
2,Asia,34.62999877929688
3,Asia,34.060000610351565
4,Asia,33.51000061035156
5,Asia,32.97999877929688
6,Asia,32.43999938964844
7,Asia,31.87999877929688
8,Asia,31.32999877929688
9,Asia,30.78999938964844
10,Asia,30.210000610351564
11,Asia,29.660000610351563
12,Asia,29.1
13,Asia,28.53999938964844
14,Asia,27.960000610351564
15,Asia,27.37999877929688
16,Asia,26.8
17,Asia,26.210000610351564
18,Asia,25.6
19,Asia,24.96999969482422
20,Asia,24.36000061035156
21,Asia,23.71999969482422
22,Asia,23.06999969482422
23,Asia,22.41999969482422
24,Asia,21.75
25,Asia,21.08999938964844
26,Asia,20.43999938964844
27,Asia,19.76999969482422
28,Asia,19.11999969482422
29,Asia,18.46999969482422
30,Asia,17.839999389648437
31,Asia,17.21999969482422
32,Asia,16.63000030517578
33,Asia,16.06999969482422
34,Asia,15.55
35,Asia,15.060000610351564
36,Asia,14.6
37,Asia,14.15
38,Asia,13.730000305175782
39,Asia,13.31999969482422
40,Asia,12.91999969482422
41,Asia,12.51999969482422
42,Asia,12.10999984741211
43,Asia,11.690000152587892
44,Asia,11.25999984741211
45,Asia,10.84000015258789
46,Asia,10.40999984741211
47,Asia,9.990000152587893
48,Asia,9.56999969482422
49,Asia,9.169999694824218
50,Asia,8.780000305175781
51,Asia,8.4
52,Asia,8.030000305175781
53,Asia,7.690000152587891
54,Asia,7.359999847412109
55,Asia,7.040000152587891
56,Asia,6.75
57,Asia,6.480000305175782
58,Asia,6.229999923706055
59,Asia,6.00999984741211
60,Asia,5.800000000000001
61,Europe,9.71999969482422
62,Europe,8.930000305175781
63,Europe,8.20999984741211
64,Europe,7.550000000000001
65,Europe,6.95
66,Europe,6.419999694824219
67,Europe,5.940000152587891
68,Europe,5.50999984741211
69,Europe,5.140000152587891
70,Europe,4.820000076293946
71,Europe,4.540000152587891
72,Europe,4.3
73,Europe,4.1000000000000005
74,Europe,3.929999923706055
75,Europe,3.779999923706055
76,Europe,3.640000152587891
77,Europe,3.509999847412109
78,Europe,3.390000152587891
79,Europe,3.259999847412109
80,Europe,3.129999923706055
81,Europe,3.0
82,Europe,2.860000038146973
83,Europe,2.7200000762939456
84,Europe,2.5799999237060547
85,Europe,2.439999961853028
86,Europe,2.3000000000000003
87,Europe,2.15
88,Europe,2.0
89,Europe,1.85
90,Europe,1.7100000381469729
91,Europe,1.5800000190734864
92,Europe,1.4500000000000002
93,Europe,1.3300000190734864
94,Europe,1.2100000381469729
95,Europe,1.1199999809265138
96,Europe,1.0399999618530271
97,Europe,0.9899999618530274
98,Europe,0.9600000381469728
99,Europe,0.9399999618530274
100,Europe,0.9399999618530274
101,Europe,0.95
102,Europe,0.9699999809265136
103,Europe,0.9800000190734864
104,Africa,24.11000061035156
105,Africa,24.11999969482422
106,Africa,24.16999969482422
107,Africa,24.260000610351565
108,Africa,24.35
109,Africa,24.450000000000003
110,Africa,24.51999969482422
111,Africa,24.51999969482422
112,Africa,24.41999969482422
113,Africa,24.200000000000003
114,Africa,23.85
115,Africa,23.36000061035156
116,Africa,22.75
117,Africa,22.01999969482422
118,Africa,21.210000610351564
119,Africa,20.310000610351565
120,Africa,19.380000305175784
121,Africa,18.4
122,Africa,17.38000030517578
123,Africa,16.280000305175783
124,Africa,15.0
125,Africa,13.530000305175784
126,Africa,11.91999969482422
127,Africa,10.280000305175784
128,Africa,8.730000305175782
129,Africa,7.45
130,Africa,6.5
131,Africa,5.840000152587891
132,Africa,5.390000152587891
133,Africa,5.1000000000000005
134,Africa,4.909999847412109
135,Africa,4.770000076293946
136,Africa,4.659999847412109
137,Africa,4.55
138,Africa,4.440000152587891
139,Africa,4.329999923706055
140,Africa,4.229999923706055
141,Africa,4.14000015258789
142,Africa,4.070000076293946
143,Africa,4.020000076293946
144,Africa,3.9700000762939456
145,Africa,3.890000152587891
146,Africa,3.779999923706055
147,Africa,3.65
148,Africa,3.509999847412109
149,Africa,3.3599998474121096
150,Africa,3.2099998474121096
151,Africa,3.0700000762939457
152,Africa,2.95
153,Africa,2.839999961853028
154,Africa,2.7399999618530275
155,Africa,2.6700000762939453
156,Africa,2.620000076293945
157,Africa,2.5799999237060547
158,Africa,2.5500000000000003
159,Africa,2.5200000762939454
160,Africa,2.479999923706055
161,Africa,2.4299999237060548
162,Africa,2.379999923706055
163,Africa,2.3299999237060547
164,Africa,2.2700000762939454
165,Europe,2.0799999237060547
166,Europe,1.9600000381469729
167,Europe,1.8399999618530276
168,Europe,1.7200000762939454
169,Europe,1.6100000381469728
170,Europe,1.5100000381469727
171,Europe,1.4199999809265138
172,Europe,1.3300000190734864
173,Europe,1.2399999618530275
174,Europe,1.1699999809265138
175,Europe,1.1
176,Europe,1.0399999618530271
177,Europe,0.9699999809265136
178,Europe,0.9199999809265136
179,Europe,0.8600000381469727
180,Europe,0.8199999809265137
181,Europe,0.7699999809265137
182,Europe,0.7300000190734863
183,Europe,0.6900000095367432
184,Europe,0.65
185,Europe,0.6099999904632569
186,Europe,0.5800000190734863
187,Europe,0.5400000095367432
188,Europe,0.5099999904632568
189,Europe,0.4800000190734863
190,Europe,0.45
191,Europe,0.4199999809265137
192,Europe,0.4
193,Europe,0.3799999952316284
194,Europe,0.35
195,Europe,0.3299999952316284
196,Europe,0.3200000047683716
197,Europe,0.3
198,Europe,0.2799999952316284
199,Europe,0.2700000047683716
200,Europe,0.25
201,Africa,23.730000305175786
202,Africa,23.460000610351564
203,Africa,23.210000610351564
