,country,year,life_stage,deaths
9060,Marshall Islands,1990,Day 28-364,16.0
9086,Marshall Islands,2016,Day 28-364,8.0
9090,Mauritania,1990,Day 28-364,2359.0
9116,Mauritania,2016,Day 28-364,1380.0
9120,Mauritius,1990,Day 28-364,103.0
9146,Mauritius,2016,Day 28-364,42.0
9150,Mexico,1990,Day 28-364,41609.0
9176,Mexico,2016,Day 28-364,11112.0
9180,Micronesia (country),1990,Day 28-364,50.0
9206,Micronesia (country),2016,Day 28-364,10.0
9210,Moldova,1990,Day 28-364,864.0
9236,Moldova,2016,Day 28-364,66.0
9240,Monaco,1990,Day 28-364,1.0
9266,Monaco,2016,Day 28-364,0.0
9270,Mongolia,1990,Day 28-364,2790.0
9296,Mongolia,2016,Day 28-364,550.0
9300,Montenegro,1990,Day 28-364,36.0
9326,Montenegro,2016,Day 28-364,7.0
9330,Morocco,1990,Day 28-364,21236.0
9356,Morocco,2016,Day 28-364,3849.0
9360,Mozambique,1990,Day 28-364,47079.0
9386,Mozambique,2016,Day 28-364,32428.0
9390,Myanmar,1990,Day 28-364,79109.0
9416,Myanmar,2016,Day 28-364,17358.0
9420,Namibia,1990,Day 28-364,968.0
9446,Namibia,2016,Day 28-364,769.0
9450,Nauru,1990,Day 28-364,3.0
9476,Nauru,2016,Day 28-364,2.0
9480,Nepal,1990,Day 28-364,30549.0
9506,Nepal,2016,Day 28-364,5116.0
9510,Netherlands,1990,Day 28-364,470.0
9536,Netherlands,2016,Day 28-364,153.0
9540,New Zealand,1990,Day 28-364,296.0
9566,New Zealand,2016,Day 28-364,79.0
9570,Nicaragua,1990,Day 28-364,4192.0
9596,Nicaragua,2016,Day 28-364,705.0
9600,Niger,1990,Day 28-364,33623.0
9626,Niger,2016,Day 28-364,30131.0
9630,Nigeria,1990,Day 28-364,216570.0
9656,Nigeria,2016,Day 28-364,228561.0
9660,Niue,1990,Day 28-364,0.0
9686,Niue,2016,Day 28-364,0.0
9690,North Korea,1990,Day 28-364,17455.0
9716,North Korea,2016,Day 28-364,1610.0
9720,North Macedonia,1990,Day 28-364,536.0
9746,North Macedonia,2016,Day 28-364,70.0
9750,Norway,1990,Day 28-364,155.0
9776,Norway,2016,Day 28-364,39.0
9780,Oman,1990,Day 28-364,662.0
9806,Oman,2016,Day 28-364,286.0
9810,Pakistan,1990,Day 28-364,87087.0
9836,Pakistan,2016,Day 28-364,88168.0
9840,Palau,1990,Day 28-364,3.0
9866,Palau,2016,Day 28-364,1.0
9870,Palestine,1990,Day 28-364,1333.0
9896,Palestine,2016,Day 28-364,603.0
9900,Panama,1990,Day 28-364,518.0
9926,Panama,2016,Day 28-364,399.0
9930,Papua New Guinea,1990,Day 28-364,4412.0
9956,Papua New Guinea,2016,Day 28-364,6347.0
9960,Paraguay,1990,Day 28-364,1283.0
9986,Paraguay,2016,Day 28-364,956.0
9990,Peru,1990,Day 28-364,17827.0
10016,Peru,2016,Day 28-364,3628.0
10020,Philippines,1990,Day 28-364,35188.0
10046,Philippines,2016,Day 28-364,20257.0
10050,Poland,1990,Day 28-364,3207.0
10076,Poland,2016,Day 28-364,523.0
10080,Portugal,1990,Day 28-364,465.0
10106,Portugal,2016,Day 28-364,77.0
10110,Qatar,1990,Day 28-364,89.0
10136,Qatar,2016,Day 28-364,72.0
10140,Romania,1990,Day 28-364,5367.0
10166,Romania,2016,Day 28-364,578.0
10170,Russia,1990,Day 28-364,10455.0
10196,Russia,2016,Day 28-364,4774.0
10200,Rwanda,1990,Day 28-364,16431.0
10226,Rwanda,2016,Day 28-364,5277.0
10230,Saint Kitts and Nevis,1990,Day 28-364,6.0
10256,Saint Kitts and Nevis,2016,Day 28-364,2.0
10260,Saint Lucia,1990,Day 28-364,19.0
10286,Saint Lucia,2016,Day 28-364,4.0
10290,Saint Vincent and the Grenadines,1990,Day 28-364,22.0
10316,Saint Vincent and the Grenadines,2016,Day 28-364,6.0
10320,Samoa,1990,Day 28-364,36.0
10346,Samoa,2016,Day 28-364,14.0
10350,San Marino,1990,Day 28-364,1.0
10376,San Marino,2016,Day 28-364,0.0
10380,Sao Tome and Principe,1990,Day 28-364,173.0
10406,Sao Tome and Principe,2016,Day 28-364,50.0
10410,Saudi Arabia,1990,Day 28-364,9081.0
10436,Saudi Arabia,2016,Day 28-364,1096.0
10440,Senegal,1990,Day 28-364,11165.0
10466,Senegal,2016,Day 28-364,6773.0
10470,Serbia,1990,Day 28-364,1386.0
10496,Serbia,2016,Day 28-364,124.0
10500,Seychelles,1990,Day 28-364,5.0
10526,Seychelles,2016,Day 28-364,5.0
10530,Sierra Leone,1990,Day 28-364,14053.0
10556,Sierra Leone,2016,Day 28-364,11996.0
10560,Singapore,1990,Day 28-364,149.0
10586,Singapore,2016,Day 28-364,41.0
10590,Slovakia,1990,Day 28-364,353.0
10616,Slovakia,2016,Day 28-364,128.0
10620,Slovenia,1990,Day 28-364,61.0
10646,Slovenia,2016,Day 28-364,8.0
10650,Solomon Islands,1990,Day 28-364,256.0
10676,Solomon Islands,2016,Day 28-364,173.0
10680,Somalia,1990,Day 28-364,20920.0
10706,Somalia,2016,Day 28-364,28971.0
10710,South Africa,1990,Day 28-364,29318.0
10736,South Africa,2016,Day 28-364,13262.0
10740,South Korea,1990,Day 28-364,3090.0
10766,South Korea,2016,Day 28-364,499.0
10770,South Sudan,1990,Day 28-364,17029.0
10796,South Sudan,2016,Day 28-364,13211.0
10800,Spain,1990,Day 28-364,1073.0
10826,Spain,2016,Day 28-364,380.0
10830,Sri Lanka,1990,Day 28-364,2291.0
10856,Sri Lanka,2016,Day 28-364,728.0
10860,Sudan,1990,Day 28-364,42247.0
10886,Sudan,2016,Day 28-364,18120.0
10890,Suriname,1990,Day 28-364,161.0
10916,Suriname,2016,Day 28-364,68.0
10920,Sweden,1990,Day 28-364,277.0
10946,Sweden,2016,Day 28-364,99.0
10950,Switzerland,1990,Day 28-364,232.0
10976,Switzerland,2016,Day 28-364,61.0
10980,Syria,1990,Day 28-364,8659.0
11006,Syria,2016,Day 28-364,1151.0
11010,Tajikistan,1990,Day 28-364,6495.0
11036,Tajikistan,2016,Day 28-364,3425.0
11040,Tanzania,1990,Day 28-364,73032.0
11066,Tanzania,2016,Day 28-364,39236.0
11070,Thailand,1990,Day 28-364,9039.0
11096,Thailand,2016,Day 28-364,1582.0
11100,Timor,1990,Day 28-364,1985.0
11126,Timor,2016,Day 28-364,435.0
11130,Togo,1990,Day 28-364,6112.0
11156,Togo,2016,Day 28-364,4433.0
11160,Tonga,1990,Day 28-364,19.0
11186,Tonga,2016,Day 28-364,10.0
11190,Trinidad and Tobago,1990,Day 28-364,120.0
11216,Trinidad and Tobago,2016,Day 28-364,53.0
11220,Tunisia,1990,Day 28-364,4419.0
11246,Tunisia,2016,Day 28-364,574.0
11250,Turkey,1990,Day 28-364,46872.0
11276,Turkey,2016,Day 28-364,4673.0
11280,Turkmenistan,1990,Day 28-364,3450.0
11306,Turkmenistan,2016,Day 28-364,1047.0
11310,Tuvalu,1990,Day 28-364,8.0
11336,Tuvalu,2016,Day 28-364,1.0
11340,Uganda,1990,Day 28-364,53996.0
11366,Uganda,2016,Day 28-364,31140.0
11370,Ukraine,1990,Day 28-364,1453.0
11396,Ukraine,2016,Day 28-364,1282.0
11400,United Arab Emirates,1990,Day 28-364,253.0
11426,United Arab Emirates,2016,Day 28-364,102.0
11430,United Kingdom,1990,Day 28-364,2489.0
11456,United Kingdom,2016,Day 28-364,888.0
11460,United States,1990,Day 28-364,14308.0
11486,United States,2016,Day 28-364,7806.0
11490,Uruguay,1990,Day 28-364,410.0
11516,Uruguay,2016,Day 28-364,127.0
11520,Uzbekistan,1990,Day 28-364,13502.0
11546,Uzbekistan,2016,Day 28-364,5680.0
11550,Vanuatu,1990,Day 28-364,67.0
11576,Vanuatu,2016,Day 28-364,60.0
11580,Venezuela,1990,Day 28-364,5978.0
11606,Venezuela,2016,Day 28-364,2182.0
11610,Vietnam,1990,Day 28-364,21371.0
11636,Vietnam,2016,Day 28-364,5060.0
11640,World,1990,Day 28-364,3832898.0
11666,World,2016,Day 28-364,1561194.0
11670,Yemen,1990,Day 28-364,36883.0
11696,Yemen,2016,Day 28-364,15984.0
11700,Zambia,1990,Day 28-364,22240.0
11726,Zambia,2016,Day 28-364,10504.0
11730,Zimbabwe,1990,Day 28-364,9153.0
11756,Zimbabwe,2016,Day 28-364,8152.0
11760,Afghanistan,1990,Day 7-27,9869.0
11786,Afghanistan,2016,Day 7-27,9542.0
11790,Albania,1990,Day 7-27,208.0
11816,Albania,2016,Day 7-27,36.0
11820,Algeria,1990,Day 7-27,6461.0
11846,Algeria,2016,Day 7-27,2378.0
11850,Andorra,1990,Day 7-27,0.0
11876,Andorra,2016,Day 7-27,0.0
11880,Angola,1990,Day 7-27,8988.0
11906,Angola,2016,Day 7-27,3790.0
11910,Antigua and Barbuda,1990,Day 7-27,3.0
11936,Antigua and Barbuda,2016,Day 7-27,2.0
11940,Argentina,1990,Day 7-27,2039.0
11966,Argentina,2016,Day 7-27,1094.0
11970,Armenia,1990,Day 7-27,364.0
11996,Armenia,2016,Day 7-27,89.0
12000,Australia,1990,Day 7-27,219.0
12026,Australia,2016,Day 7-27,124.0
12030,Austria,1990,Day 7-27,107.0
12056,Austria,2016,Day 7-27,37.0
12060,Azerbaijan,1990,Day 7-27,1794.0
12086,Azerbaijan,2016,Day 7-27,663.0
12090,Bahamas,1990,Day 7-27,15.0
12116,Bahamas,2016,Day 7-27,9.0
12120,Bahrain,1990,Day 7-27,44.0
12146,Bahrain,2016,Day 7-27,13.0
12150,Bangladesh,1990,Day 7-27,82209.0
12176,Bangladesh,2016,Day 7-27,11433.0
12180,Barbados,1990,Day 7-27,11.0
12206,Barbados,2016,Day 7-27,6.0
12210,Belarus,1990,Day 7-27,376.0
12236,Belarus,2016,Day 7-27,85.0
12240,Belgium,1990,Day 7-27,120.0
12266,Belgium,2016,Day 7-27,63.0
12270,Belize,1990,Day 7-27,19.0
12296,Belize,2016,Day 7-27,21.0
12300,Benin,1990,Day 7-27,2389.0
12326,Benin,2016,Day 7-27,2500.0
12330,Bhutan,1990,Day 7-27,422.0
12356,Bhutan,2016,Day 7-27,67.0
12360,Bolivia,1990,Day 7-27,2914.0
12386,Bolivia,2016,Day 7-27,1407.0
12390,Bosnia and Herzegovina,1990,Day 7-27,85.0
12416,Bosnia and Herzegovina,2016,Day 7-27,93.0
12420,Botswana,1990,Day 7-27,197.0
12446,Botswana,2016,Day 7-27,155.0
12450,Brazil,1990,Day 7-27,22994.0
12476,Brazil,2016,Day 7-27,5830.0
12480,Brunei,1990,Day 7-27,10.0
12506,Brunei,2016,Day 7-27,9.0
12510,Bulgaria,1990,Day 7-27,269.0
12536,Bulgaria,2016,Day 7-27,74.0
12540,Burkina Faso,1990,Day 7-27,8015.0
12566,Burkina Faso,2016,Day 7-27,7023.0
12570,Burundi,1990,Day 7-27,3608.0
12596,Burundi,2016,Day 7-27,2964.0
12600,Cambodia,1990,Day 7-27,6503.0
12626,Cambodia,2016,Day 7-27,1321.0
12630,Cameroon,1990,Day 7-27,5294.0
12656,Cameroon,2016,Day 7-27,5221.0
12660,Canada,1990,Day 7-27,303.0
12686,Canada,2016,Day 7-27,209.0
12690,Cape Verde,1990,Day 7-27,64.0
12716,Cape Verde,2016,Day 7-27,20.0
12720,Central African Republic,1990,Day 7-27,1827.0
12746,Central African Republic,2016,Day 7-27,2035.0
12750,Chad,1990,Day 7-27,5580.0
12776,Chad,2016,Day 7-27,5781.0
12780,Chile,1990,Day 7-27,536.0
12806,Chile,2016,Day 7-27,230.0
12810,China,1990,Day 7-27,109818.0
12836,China,2016,Day 7-27,19318.0
12840,Colombia,1990,Day 7-27,2860.0
12866,Colombia,2016,Day 7-27,1675.0
12870,Comoros,1990,Day 7-27,272.0
12896,Comoros,2016,Day 7-27,79.0
12900,Congo,1990,Day 7-27,607.0
12926,Congo,2016,Day 7-27,542.0
12930,Cook Islands,1990,Day 7-27,1.0
12956,Cook Islands,2016,Day 7-27,0.0
12960,Costa Rica,1990,Day 7-27,141.0
12986,Costa Rica,2016,Day 7-27,86.0
12990,Cote d'Ivoire,1990,Day 7-27,8983.0
13016,Cote d'Ivoire,2016,Day 7-27,6164.0
13020,Croatia,1990,Day 7-27,90.0
13046,Croatia,2016,Day 7-27,31.0
13050,Cuba,1990,Day 7-27,326.0
13076,Cuba,2016,Day 7-27,100.0
13080,Cyprus,1990,Day 7-27,22.0
13106,Cyprus,2016,Day 7-27,7.0
13110,Czechia,1990,Day 7-27,211.0
13136,Czechia,2016,Day 7-27,66.0
13140,Democratic Republic of Congo,1990,Day 7-27,17905.0
13166,Democratic Republic of Congo,2016,Day 7-27,13069.0
13170,Denmark,1990,Day 7-27,59.0
13196,Denmark,2016,Day 7-27,29.0
13200,Djibouti,1990,Day 7-27,204.0
13226,Djibouti,2016,Day 7-27,163.0
13230,Dominica,1990,Day 7-27,4.0
13256,Dominica,2016,Day 7-27,3.0
13260,Dominican Republic,1990,Day 7-27,1553.0
13286,Dominican Republic,2016,Day 7-27,840.0
13290,Ecuador,1990,Day 7-27,1323.0
13316,Ecuador,2016,Day 7-27,713.0
13320,Egypt,1990,Day 7-27,24444.0
13346,Egypt,2016,Day 7-27,7445.0
13350,El Salvador,1990,Day 7-27,753.0
13376,El Salvador,2016,Day 7-27,204.0
13380,Equatorial Guinea,1990,Day 7-27,267.0
13406,Equatorial Guinea,2016,Day 7-27,118.0
13410,Eritrea,1990,Day 7-27,1557.0
13436,Eritrea,2016,Day 7-27,827.0
13440,Estonia,1990,Day 7-27,54.0
13466,Estonia,2016,Day 7-27,6.0
13470,Eswatini,1990,Day 7-27,170.0
13496,Eswatini,2016,Day 7-27,119.0
13500,Ethiopia,1990,Day 7-27,46187.0
13526,Ethiopia,2016,Day 7-27,25530.0
13530,Fiji,1990,Day 7-27,40.0
13556,Fiji,2016,Day 7-27,49.0
13560,Finland,1990,Day 7-27,47.0
13586,Finland,2016,Day 7-27,13.0
13590,France,1990,Day 7-27,814.0
13616,France,2016,Day 7-27,519.0
13620,Gabon,1990,Day 7-27,223.0
13646,Gabon,2016,Day 7-27,144.0
13650,Gambia,1990,Day 7-27,397.0
13676,Gambia,2016,Day 7-27,186.0
13680,Georgia,1990,Day 7-27,251.0
13706,Georgia,2016,Day 7-27,108.0
13710,Germany,1990,Day 7-27,880.0
13736,Germany,2016,Day 7-27,362.0
13740,Ghana,1990,Day 7-27,5434.0
13766,Ghana,2016,Day 7-27,3911.0
13770,Greece,1990,Day 7-27,188.0
13796,Greece,2016,Day 7-27,87.0
13800,Grenada,1990,Day 7-27,4.0
13826,Grenada,2016,Day 7-27,2.0
13830,Guatemala,1990,Day 7-27,2453.0
13856,Guatemala,2016,Day 7-27,1526.0
13860,Guinea,1990,Day 7-27,5159.0
13886,Guinea,2016,Day 7-27,3970.0
13890,Guinea-Bissau,1990,Day 7-27,740.0
13916,Guinea-Bissau,2016,Day 7-27,382.0
13920,Guyana,1990,Day 7-27,89.0
13946,Guyana,2016,Day 7-27,27.0
13950,Haiti,1990,Day 7-27,4407.0
13976,Haiti,2016,Day 7-27,3077.0
13980,Honduras,1990,Day 7-27,944.0
14006,Honduras,2016,Day 7-27,605.0
14010,Hungary,1990,Day 7-27,280.0
14036,Hungary,2016,Day 7-27,79.0
14040,Iceland,1990,Day 7-27,3.0
14066,Iceland,2016,Day 7-27,1.0
14070,India,1990,Day 7-27,361559.0
14096,India,2016,Day 7-27,121688.0
14100,Indonesia,1990,Day 7-27,48737.0
14126,Indonesia,2016,Day 7-27,11269.0
14130,Iran,1990,Day 7-27,15496.0
14156,Iran,2016,Day 7-27,3549.0
14160,Iraq,1990,Day 7-27,5681.0
14186,Iraq,2016,Day 7-27,2548.0
14190,Ireland,1990,Day 7-27,45.0
14216,Ireland,2016,Day 7-27,31.0
14220,Israel,1990,Day 7-27,148.0
14246,Israel,2016,Day 7-27,115.0
14250,Italy,1990,Day 7-27,798.0
14276,Italy,2016,Day 7-27,284.0
14280,Jamaica,1990,Day 7-27,184.0
14306,Jamaica,2016,Day 7-27,111.0
14310,Japan,1990,Day 7-27,852.0
14336,Japan,2016,Day 7-27,254.0
14340,Jordan,1990,Day 7-27,744.0
14366,Jordan,2016,Day 7-27,520.0
14370,Kazakhstan,1990,Day 7-27,2061.0
14396,Kazakhstan,2016,Day 7-27,874.0
14400,Kenya,1990,Day 7-27,6653.0
14426,Kenya,2016,Day 7-27,5782.0
14430,Kiribati,1990,Day 7-27,16.0
14456,Kiribati,2016,Day 7-27,12.0
14460,Kuwait,1990,Day 7-27,95.0
14486,Kuwait,2016,Day 7-27,113.0
14490,Kyrgyzstan,1990,Day 7-27,787.0
14516,Kyrgyzstan,2016,Day 7-27,250.0
14520,Laos,1990,Day 7-27,2610.0
14546,Laos,2016,Day 7-27,727.0
14550,Latvia,1990,Day 7-27,118.0
14576,Latvia,2016,Day 7-27,11.0
14580,Lebanon,1990,Day 7-27,520.0
14606,Lebanon,2016,Day 7-27,198.0
14610,Lesotho,1990,Day 7-27,393.0
14636,Lesotho,2016,Day 7-27,259.0
14640,Liberia,1990,Day 7-27,1373.0
14666,Liberia,2016,Day 7-27,745.0
14670,Libya,1990,Day 7-27,931.0
14696,Libya,2016,Day 7-27,162.0
14700,Lithuania,1990,Day 7-27,110.0
14726,Lithuania,2016,Day 7-27,19.0
14730,Luxembourg,1990,Day 7-27,5.0
14756,Luxembourg,2016,Day 7-27,3.0
14760,Madagascar,1990,Day 7-27,7317.0
14786,Madagascar,2016,Day 7-27,4277.0
14790,Malawi,1990,Day 7-27,6381.0
14816,Malawi,2016,Day 7-27,2853.0
14820,Malaysia,1990,Day 7-27,881.0
14846,Malaysia,2016,Day 7-27,517.0
14850,Maldives,1990,Day 7-27,43.0
14876,Maldives,2016,Day 7-27,14.0
14880,Mali,1990,Day 7-27,8413.0
14906,Mali,2016,Day 7-27,6781.0
14910,Malta,1990,Day 7-27,9.0
14936,Malta,2016,Day 7-27,4.0
14940,Marshall Islands,1990,Day 7-27,4.0
14966,Marshall Islands,2016,Day 7-27,3.0
14970,Mauritania,1990,Day 7-27,900.0
14996,Mauritania,2016,Day 7-27,645.0
15000,Mauritius,1990,Day 7-27,49.0
15026,Mauritius,2016,Day 7-27,37.0
15030,Mexico,1990,Day 7-27,11702.0
15056,Mexico,2016,Day 7-27,5145.0
15060,Micronesia (country),1990,Day 7-27,11.0
15086,Micronesia (country),2016,Day 7-27,4.0
15090,Moldova,1990,Day 7-27,299.0
15116,Moldova,2016,Day 7-27,92.0
15120,Monaco,1990,Day 7-27,0.0
15146,Monaco,2016,Day 7-27,0.0
15150,Mongolia,1990,Day 7-27,411.0
15176,Mongolia,2016,Day 7-27,185.0
15180,Montenegro,1990,Day 7-27,22.0
15206,Montenegro,2016,Day 7-27,4.0
15210,Morocco,1990,Day 7-27,10560.0
15236,Morocco,2016,Day 7-27,2400.0
15240,Mozambique,1990,Day 7-27,9434.0
15266,Mozambique,2016,Day 7-27,5064.0
15270,Myanmar,1990,Day 7-27,18825.0
15296,Myanmar,2016,Day 7-27,4518.0
15300,Namibia,1990,Day 7-27,233.0
15326,Namibia,2016,Day 7-27,175.0
15330,Nauru,1990,Day 7-27,1.0
15356,Nauru,2016,Day 7-27,1.0
15360,Nepal,1990,Day 7-27,14897.0
15386,Nepal,2016,Day 7-27,2719.0
15390,Netherlands,1990,Day 7-27,171.0
15416,Netherlands,2016,Day 7-27,114.0
15420,New Zealand,1990,Day 7-27,60.0
15446,New Zealand,2016,Day 7-27,25.0
15450,Nicaragua,1990,Day 7-27,823.0
15476,Nicaragua,2016,Day 7-27,305.0
15480,Niger,1990,Day 7-27,8029.0
15506,Niger,2016,Day 7-27,7547.0
15510,Nigeria,1990,Day 7-27,58056.0
15536,Nigeria,2016,Day 7-27,59686.0
15540,Niue,1990,Day 7-27,0.0
15566,Niue,2016,Day 7-27,0.0
15570,North Korea,1990,Day 7-27,4387.0
15596,North Korea,2016,Day 7-27,599.0
15600,North Macedonia,1990,Day 7-27,156.0
15626,North Macedonia,2016,Day 7-27,46.0
15630,Norway,1990,Day 7-27,60.0
15656,Norway,2016,Day 7-27,23.0
15660,Oman,1990,Day 7-27,305.0
15686,Oman,2016,Day 7-27,156.0
15690,Pakistan,1990,Day 7-27,74956.0
15716,Pakistan,2016,Day 7-27,62676.0
15720,Palau,1990,Day 7-27,1.0
15746,Palau,2016,Day 7-27,0.0
15750,Palestine,1990,Day 7-27,575.0
15776,Palestine,2016,Day 7-27,303.0
15780,Panama,1990,Day 7-27,210.0
15806,Panama,2016,Day 7-27,157.0
15810,Papua New Guinea,1990,Day 7-27,971.0
15836,Papua New Guinea,2016,Day 7-27,1864.0
15840,Paraguay,1990,Day 7-27,653.0
15866,Paraguay,2016,Day 7-27,176.0
15870,Peru,1990,Day 7-27,5740.0
15896,Peru,2016,Day 7-27,1237.0
15900,Philippines,1990,Day 7-27,9324.0
15926,Philippines,2016,Day 7-27,6066.0
15930,Poland,1990,Day 7-27,1371.0
15956,Poland,2016,Day 7-27,310.0
15960,Portugal,1990,Day 7-27,161.0
15986,Portugal,2016,Day 7-27,58.0
15990,Qatar,1990,Day 7-27,35.0
16016,Qatar,2016,Day 7-27,36.0
16020,Romania,1990,Day 7-27,1126.0
16046,Romania,2016,Day 7-27,270.0
16050,Russia,1990,Day 7-27,6033.0
16076,Russia,2016,Day 7-27,1663.0
16080,Rwanda,1990,Day 7-27,4427.0
16106,Rwanda,2016,Day 7-27,1798.0
16110,Saint Kitts and Nevis,1990,Day 7-27,3.0
16136,Saint Kitts and Nevis,2016,Day 7-27,2.0
16140,Saint Lucia,1990,Day 7-27,10.0
16166,Saint Lucia,2016,Day 7-27,4.0
16170,Saint Vincent and the Grenadines,1990,Day 7-27,11.0
16196,Saint Vincent and the Grenadines,2016,Day 7-27,5.0
16200,Samoa,1990,Day 7-27,10.0
16226,Samoa,2016,Day 7-27,7.0
16230,San Marino,1990,Day 7-27,0.0
16256,San Marino,2016,Day 7-27,0.0
16260,Sao Tome and Principe,1990,Day 7-27,31.0
16286,Sao Tome and Principe,2016,Day 7-27,18.0
16290,Saudi Arabia,1990,Day 7-27,2558.0
16316,Saudi Arabia,2016,Day 7-27,478.0
16320,Senegal,1990,Day 7-27,4400.0
16346,Senegal,2016,Day 7-27,3001.0
16350,Serbia,1990,Day 7-27,454.0
16376,Serbia,2016,Day 7-27,82.0
16380,Seychelles,1990,Day 7-27,5.0
16406,Seychelles,2016,Day 7-27,3.0
16410,Sierra Leone,1990,Day 7-27,2591.0
16436,Sierra Leone,2016,Day 7-27,1921.0
16440,Singapore,1990,Day 7-27,56.0
16466,Singapore,2016,Day 7-27,19.0
16470,Slovakia,1990,Day 7-27,197.0
16496,Slovakia,2016,Day 7-27,53.0
16500,Slovenia,1990,Day 7-27,25.0
16526,Slovenia,2016,Day 7-27,13.0
16530,Solomon Islands,1990,Day 7-27,61.0
16556,Solomon Islands,2016,Day 7-27,66.0
16560,Somalia,1990,Day 7-27,5919.0
16586,Somalia,2016,Day 7-27,8309.0
16590,South Africa,1990,Day 7-27,6212.0
16616,South Africa,2016,Day 7-27,3775.0
16620,South Korea,1990,Day 7-27,1043.0
16646,South Korea,2016,Day 7-27,217.0
16650,South Sudan,1990,Day 7-27,3445.0
16676,South Sudan,2016,Day 7-27,2841.0
16680,Spain,1990,Day 7-27,532.0
16706,Spain,2016,Day 7-27,245.0
16710,Sri Lanka,1990,Day 7-27,1063.0
16736,Sri Lanka,2016,Day 7-27,428.0
16740,Sudan,1990,Day 7-27,14803.0
16766,Sudan,2016,Day 7-27,6578.0
16770,Suriname,1990,Day 7-27,59.0
16796,Suriname,2016,Day 7-27,39.0
16800,Sweden,1990,Day 7-27,88.0
16826,Sweden,2016,Day 7-27,50.0
16830,Switzerland,1990,Day 7-27,63.0
16856,Switzerland,2016,Day 7-27,35.0
16860,Syria,1990,Day 7-27,2347.0
16886,Syria,2016,Day 7-27,491.0
16890,Tajikistan,1990,Day 7-27,1249.0
16916,Tajikistan,2016,Day 7-27,750.0
16920,Tanzania,1990,Day 7-27,14540.0
16946,Tanzania,2016,Day 7-27,9291.0
16950,Thailand,1990,Day 7-27,3770.0
16976,Thailand,2016,Day 7-27,824.0
16980,Timor,1990,Day 7-27,351.0
17006,Timor,2016,Day 7-27,64.0
17010,Togo,1990,Day 7-27,1421.0
17036,Togo,2016,Day 7-27,942.0
17040,Tonga,1990,Day 7-27,6.0
17066,Tonga,2016,Day 7-27,5.0
17070,Trinidad and Tobago,1990,Day 7-27,99.0
17096,Trinidad and Tobago,2016,Day 7-27,56.0
17100,Tunisia,1990,Day 7-27,1887.0
17126,Tunisia,2016,Day 7-27,611.0
17130,Turkey,1990,Day 7-27,14008.0
17156,Turkey,2016,Day 7-27,1901.0
17160,Turkmenistan,1990,Day 7-27,900.0
17186,Turkmenistan,2016,Day 7-27,411.0
17190,Tuvalu,1990,Day 7-27,2.0
17216,Tuvalu,2016,Day 7-27,0.0
17220,Uganda,1990,Day 7-27,9524.0
17246,Uganda,2016,Day 7-27,8225.0
17250,Ukraine,1990,Day 7-27,1813.0
17276,Ukraine,2016,Day 7-27,400.0
17280,United Arab Emirates,1990,Day 7-27,119.0
17306,United Arab Emirates,2016,Day 7-27,60.0
17310,United Kingdom,1990,Day 7-27,836.0
17336,United Kingdom,2016,Day 7-27,491.0
17340,United States,1990,Day 7-27,4293.0
17366,United States,2016,Day 7-27,2985.0
17370,Uruguay,1990,Day 7-27,123.0
17396,Uruguay,2016,Day 7-27,48.0
17400,Uzbekistan,1990,Day 7-27,3587.0
17426,Uzbekistan,2016,Day 7-27,2844.0
17430,Vanuatu,1990,Day 7-27,18.0
17456,Vanuatu,2016,Day 7-27,23.0
17460,Venezuela,1990,Day 7-27,2058.0
17486,Venezuela,2016,Day 7-27,1434.0
17490,Vietnam,1990,Day 7-27,9357.0
17516,Vietnam,2016,Day 7-27,2549.0
17520,World,1990,Day 7-27,1264903.0
17546,World,2016,Day 7-27,560383.0
17550,Yemen,1990,Day 7-27,8883.0
17576,Yemen,2016,Day 7-27,5143.0
17580,Zambia,1990,Day 7-27,4798.0
17606,Zambia,2016,Day 7-27,3007.0
17610,Zimbabwe,1990,Day 7-27,2277.0
17636,Zimbabwe,2016,Day 7-27,2476.0
17640,Afghanistan,1990,Day 0-6,15560.0
17666,Afghanistan,2016,Day 0-6,25313.0
17670,Albania,1990,Day 0-6,989.0
17696,Albania,2016,Day 0-6,213.0
17700,Algeria,1990,Day 0-6,13487.0
17726,Algeria,2016,Day 0-6,10628.0
17730,Andorra,1990,Day 0-6,1.0
17756,Andorra,2016,Day 0-6,0.0
17760,Angola,1990,Day 0-6,15769.0
17786,Angola,2016,Day 0-6,21870.0
17790,Antigua and Barbuda,1990,Day 0-6,10.0
17816,Antigua and Barbuda,2016,Day 0-6,4.0
17820,Argentina,1990,Day 0-6,8820.0
17846,Argentina,2016,Day 0-6,3427.0
17850,Armenia,1990,Day 0-6,1239.0
17876,Armenia,2016,Day 0-6,216.0
17880,Australia,1990,Day 0-6,977.0
17906,Australia,2016,Day 0-6,568.0
17910,Austria,1990,Day 0-6,320.0
17936,Austria,2016,Day 0-6,152.0
17940,Azerbaijan,1990,Day 0-6,4354.0
17966,Azerbaijan,2016,Day 0-6,2529.0
17970,Bahamas,1990,Day 0-6,46.0
17996,Bahamas,2016,Day 0-6,19.0
18000,Bahrain,1990,Day 0-6,116.0
18026,Bahrain,2016,Day 0-6,26.0
18030,Bangladesh,1990,Day 0-6,138272.0
18056,Bangladesh,2016,Day 0-6,54403.0
18060,Barbados,1990,Day 0-6,42.0
18086,Barbados,2016,Day 0-6,20.0
